Identity	Sex	Egg_Length	Egg_Width	Larva_Length	Larva_Width	Proto_Length	Proto_Width	Deuto_Length	Deuto_Width	Adult_Length	Adult_Width	Highest_Length	Highest_Width
A5DAM	F	0.21	0.156	0.216	0.141	0.228	0.141	0.247	0.165	0.333	0.189	0.392	0.223
A7DAM	F	0.206	0.156	0.21	0.143	0.26	0.168	0.28	0.17	0.344	0.201	0.396	0.2
B6DAM	F	0.201	0.15	NA	NA	0.228	0.143	0.283	0.169	0.334	0.196	0.414	0.238
D3DAM	F	0.202	0.15	0.215	0.137	0.263	0.158	0.282	0.169	0.326	0.185	0.41	0.212
F4DAM	F	0.208	0.163	0.228	0.152	0.263	0.157	0.32	0.196	0.346	0.197	0.391	0.225
F5DAM	F	0.198	0.153	0.204	0.144	NA	NA	0.275	0.158	0.327	0.192	NA	NA
F6DAM	f	0.2	0.152	0.224	0.148	0.263	0.15	0.332	0.188	0.351	0.186	0.404	0.25
G3DAM	F	0.201	0.158	0.207	0.143	NA	NA	0.267	0.141	0.324	0.197	0.39	0.238
G5DAM	F	0.204	0.157	NA	NA	0.233	0.15	0.274	0.169	0.336	0.194	0.399	0.224
G7DAM	F	0.197	0.155	0.191	0.144	0.245	0.148	0.276	0.174	0.356	0.2	0.396	0.222
H2DAM	F	0.196	0.147	0.206	0.139	0.265	0.165	0.292	0.179	0.322	0.186	0.379	0.198
H3DAM	F	0.212	0.158	0.221	0.145	NA	NA	0.279	0.166	0.344	0.199	0.4	0.232
H6DAM	F	0.204	0.156	0.207	0.147	NA	NA	0.267	0.165	0.354	0.204	0.404	0.192
D7DAM	F	0.197	0.149	NA	NA	0.267	0.167	0.319	0.174	0.339	0.201	0.417	0.25
I7DAM	F	0.209	0.155	NA	NA	0.227	0.143	0.272	0.168	0.351	0.198	0.407	0.246
K3DAM	F	0.193	0.148	NA	NA	0.222	0.139	0.274	0.175	0.341	0.181	0.424	0.268
K7DAM	F	0.194	0.155	0.194	0.141	NA	NA	0.261	0.164	0.33	0.194	0.41	0.279
M3DAM	F	0.196	0.157	NA	NA	0.22	0.149	0.314	0.185	0.375	0.222	0.391	0.211
N1DAM	F	0.195	0.156	0.198	0.142	0.262	0.166	0.333	0.207	0.393	0.222	NA	NA
N7DAM	F	0.202	0.162	0.212	0.146	0.249	0.157	0.33	0.205	0.385	0.221	0.41	0.233
R2DAM	F	0.198	0.152	NA	NA	0.228	0.151	0.285	0.176	0.334	0.196	0.424	0.279
R6DAM	F	0.202	0.161	0.218	0.147	0.253	0.16	0.317	0.185	0.387	0.211	0.401	0.271
U4DAM	F	0.188	0.149	0.202	0.138	0.223	0.144	0.287	0.175	0.348	0.2	0.402	0.225
U7DAM	F	0.198	0.155	0.215	0.141	0.228	0.139	0.28	0.167	0.351	0.201	0.391	0.227
W4DAM	F	0.191	0.152	0.198	0.142	0.24	0.154	0.292	0.172	0.386	0.217	0.412	0.254
W7DAM	F	0.195	0.15	0.205	0.138	0.268	0.162	0.286	0.174	0.388	0.218	0.394	0.23
X1DAM	F	0.19	0.157	0.2	0.138	0.277	0.167	0.319	0.19	0.394	0.225	0.4	0.234
X3DAM	F	0.2	0.153	0.212	0.136	0.249	0.157	0.301	0.161	0.386	0.215	0.414	0.262
X4DAM	F	0.196	0.16	0.205	0.143	0.279	0.181	0.33	0.196	0.392	0.223	0.427	0.288
X5DAM	F	0.21	0.16	NA	NA	0.262	0.154	0.273	0.168	0.355	0.203	0.41	0.24
X6DAM	F	0.203	0.159	0.206	0.138	0.281	0.175	0.3	0.176	0.384	0.216	NA	NA
X7DAM	F	0.202	0.158	0.209	0.147	0.249	0.154	0.29	0.168	0.394	0.222	0.412	0.247
H4	F	0.194	0.149	0.21	0.138	0.236	0.147	0.283	0.168	0.35	0.184	NA	NA
B3	F	0.203	0.153	0.209	0.128	0.269	0.166	0.326	0.182	0.343	0.196	NA	NA
D4	F	0.204	0.159	NA	NA	0.217	0.139	0.271	0.163	0.341	0.189	0.398	0.227
K6	F	0.194	0.152	0.212	0.141	0.235	0.154	0.276	0.162	0.33	0.19	0.383	0.21
A6	F	0.197	0.153	0.188	0.125	0.248	0.149	0.326	0.193	0.363	0.198	0.389	0.214
D5	F	0.197	0.155	0.201	0.143	0.249	0.147	0.344	0.204	0.396	0.218	NA	NA
G2	F	0.201	0.149	0.199	0.144	0.268	0.163	0.271	0.169	0.348	0.179	0.39	0.212
B2	F	0.193	0.159	0.192	0.139	0.274	0.173	0.328	0.21	0.391	0.221	NA	NA
F2	F	0.198	0.156	0.211	0.147	0.268	0.16	0.291	0.176	0.339	0.195	0.394	0.216
G4	F	0.205	0.16	0.212	0.153	0.262	0.165	0.3	0.181	0.323	0.21	0.393	0.238
M2DAM	F	0.195	0.155	0.211	0.141	0.262	0.164	0.325	0.195	0.387	0.216	0.432	0.295
N5	F	0.19	0.153	0.202	0.14	0.265	0.159	0.348	0.201	0.384	0.217	0.413	0.238
T1	F	0.203	0.156	0.212	0.136	0.25	0.158	0.315	0.178	0.382	0.214	NA	NA
T7	F	0.2	0.156	NA	NA	0.234	0.147	0.283	0.171	0.344	0.206	NA	NA
W3	F	0.201	0.152	0.211	0.142	0.225	0.145	0.264	0.164	0.334	0.192	0.386	0.215
R4	F	0.199	0.153	NA	NA	0.234	0.15	0.287	0.178	0.34	0.211	NA	NA
W5	F	0.203	0.156	0.205	0.143	0.24	0.154	0.317	0.189	0.372	0.199	0.399	0.222
M7	F	0.198	0.155	0.216	0.144	0.248	0.154	0.279	0.171	0.391	0.217	NA	NA
