temperature	days	mm							
10	1.58	0.58							
10	1.82	0.58							
10	1.63	0.65							
10	2.14	0.66							
10	2.76	0.72							
10	2.70	0.86							
10	2.30	0.90							
10	2.70	1.04							
10	3.67	1.30							
10	4.26	1.23							
10	4.76	1.36							
10	5.19	1.28							
10	5.84	1.36							
10	6.10	1.46							
10	6.64	1.95							
10	6.99	1.81							
10	7.12	1.71							
10	7.47	1.76							
10	7.52	1.98							
10	7.93	1.97							
10	8.70	2.25							
10	8.65	2.35							
10	9.02	2.41							
10	9.35	2.42							
10	9.32	2.34							
10	10.61	2.38							
10	10.71	2.38							
10	10.69	2.32							
10	10.66	2.84							
10	11.19	2.77							
10	11.49	2.80							
10	11.52	3.00							
10	11.94	2.98							
10	13.04	2.84							
10	13.26	2.77							
10	13.39	2.98							
10	14.41	3.24							
10	14.38	3.34							
10	14.68	3.30							
10	15.19	3.38							
10	16.37	3.26							
10	16.26	3.27							
10	16.34	3.31							
10	16.10	3.79							
10	15.56	3.94							
10	15.99	3.95							
10	16.37	3.95							
10	18.08	3.98							
10	18.19	4.08							
10	18.72	3.91							
10	19.31	3.92							
10	19.50	4.32							
10	19.63	4.48							
10	20.14	4.32							
10	20.09	4.46							
10	20.76	4.49							
10	21.19	4.52							
10	21.94	4.98							
10	22.10	5.01							
10	22.05	5.17							
10	24.19	4.86							
10	23.28	5.38							
10	23.33	5.52							
10	24.19	5.41							
10	24.19	5.70							
10	24.91	5.34							
10	26.44	5.96							
10	26.55	6.20							
10	27.30	6.07							
10	28.23	6.32							
10	27.75	6.52							
10	28.42	6.50							
10	28.85	6.52							
10	29.04	6.66							
15	0.85	0.56							
15	1.03	0.64							
15	1.16	0.74							
15	1.33	0.81							
15	1.42	0.82							
15	1.55	1.10							
15	1.61	1.10							
15	2.00	1.19							
15	2.21	1.35							
15	2.21	1.52							
15	2.50	1.51							
15	2.75	1.65							
15	2.73	1.70							
15	3.38	2.06							
15	3.55	2.18							
15	3.56	2.21							
15	3.90	2.26							
15	3.82	2.38							
15	3.88	2.53							
15	4.27	2.49							
15	4.35	2.77							
15	4.77	2.89							
15	4.48	3.06							
15	4.83	3.06							
15	5.16	3.07							
15	5.52	3.37							
15	5.55	3.60							
15	6.09	3.74							
15	6.56	3.86							
15	6.88	4.05							
15	6.84	4.25							
15	7.42	4.38							
15	7.94	4.62							
15	7.66	4.83							
15	8.07	4.85							
15	8.49	4.82							
15	8.48	5.07							
15	9.16	4.99							
15	9.20	5.02							
15	9.28	5.30							
15	9.22	5.32							
15	9.15	5.53							
15	9.76	5.54							
15	10.39	5.60							
15	10.52	5.74							
15	10.62	6.05							
15	11.01	5.84							
15	11.43	5.90							
15	12.25	6.10							
15	12.92	6.09							
15	13.33	6.21							
15	13.61	6.14							
15	13.69	6.29							
20	1.33	0.61							
20	1.35	0.71							
20	1.59	0.79							
20	1.37	0.81							
20	1.74	0.91							
20	2.08	1.05							
20	2.41	1.12							
20	2.32	1.12							
20	2.56	1.31							
20	2.65	1.32							
20	2.95	1.42							
20	3.02	1.59							
20	3.38	1.79							
20	3.84	1.92							
20	3.88	2.10							
20	4.23	2.13							
20	4.27	2.26							
20	4.57	2.30							
20	4.29	2.49							
20	5.13	2.53							
20	4.85	2.66							
20	5.76	2.81							
20	5.50	3.04							
20	6.09	2.98							
20	6.47	3.29							
20	6.30	3.38							
20	6.22	3.38							
20	6.84	3.48							
20	7.08	3.68							
20	7.71	3.72							
20	7.81	3.73							
20	7.66	3.88							
20	7.99	3.85							
20	8.53	4.07							
20	8.48	4.24							
20	9.22	4.25							
20	9.11	4.37							
20	9.09	4.50							
20	9.05	4.52							
20	9.57	4.50							
20	9.78	4.34							
20	10.13	4.62							
20	10.11	4.83							
20	10.62	4.83							
20	10.71	4.83							
20	11.27	4.79							
20	11.21	4.79							
20	11.16	4.88							
20	11.17	4.91							
20	10.95	4.97							
20	10.89	5.00							
20	11.34	4.97							
