id	stage	length
1	male	0.897
2	male	0.849
3	male	0.922
4	male	0.977
5	male	0.893
6	male	0.894
7	male	0.917
8	male	0.903
9	male	0.911
10	male	0.898
10	male	0.899
11	male	0.903
11	male	0.905
12	male	0.874
12	male	0.872
13	male	0.989
13	male	0.985
14	male	0.825
14	male	0.819
15	male	0.87
15	male	0.88
16	male	0.968
16	male	0.96
17	male	0.938
17	male	0.94
18	male	0.929
18	male	0.901
19	male	0.905
19	male	0.919
20	male	0.87
20	male	0.877
21	male	0.93
21	male	0.921
22	male	0.889
22	male	0.896
23	male	0.89
23	male	0.891
24	male	0.909
24	male	0.905
25	male	0.862
25	male	0.845
26	female	0.95
26	female	0.95
27	female	0.972
27	female	0.93
28	female	0.952
28	female	1.102
29	female	1.008
29	female	1.003
30	female	0.994
30	female	0.982
31	female	1.011
31	female	1.062
32	female	0.993
32	female	0.994
33	female	0.993
33	female	0.995
34	female	0.985
34	female	0.991
35	female	0.991
35	female	0.97
36	female	0.97
36	female	0.953
37	female	0.975
37	female	0.955
38	female	1.051
38	female	1.068
39	female	1.007
39	female	0.999
40	female	0.984
40	female	0.992
41	female	1.034
41	female	1.034
42	female	1.025
42	female	1.014
43	female	0.966
43	female	0.96
44	female	0.966
44	female	0.986
45	female	0.951
45	female	0.952
46	female	0.953
46	female	0.956
47	female	1.03
47	female	1.023
48	female	1.058
48	female	1.064
49	female	1.108
49	female	1.11
50	female	0.93
50	female	0.93
51	N1	0.361
51	N1	0.36
52	N1	0.343
52	N1	0.34
53	N1	0.324
53	N1	0.26
54	N1	0.301
54	N1	0.308
55	N1	0.346
55	N1	0.349
56	N1	0.305
56	N1	0.303
57	N1	0.357
57	N1	0.364
58	N1	0.357
58	N1	0.357
59	N1	0.376
59	N1	0.37
60	N1	0.368
60	N1	0.368
61	N1	0.385
61	N1	0.384
62	N1	0.371
62	N1	0.371
63	N1	0.345
63	N1	0.361
64	N1	0.333
64	N1	0.33
65	N1	0.348
65	N1	0.35
66	N1	0.394
66	N1	0.391
67	N1	0.33
67	N1	0.336
68	N1	0.399
68	N1	0.411
69	N1	0.372
69	N1	0.377
70	N1	0.34
70	N1	0.334
71	N2	0.629
71	N2	0.625
72	N2	0.642
72	N2	0.64
73	N2	0.529
73	N2	0.529
74	N2	0.66
74	N2	0.672
75	N2	0.639
75	N2	0.639
76	N2	0.41
76	N2	0.655
77	N2	0.634
77	N2	0.632
78	N2	0.67
78	N2	0.661
79	N2	0.658
79	N2	0.6
80	N2	0.644
80	N2	0.643
81	N2	0.609
81	N2	0.606
82	N2	0.594
82	N2	0.591
83	N2	0.607
83	N2	0.606
84	N2	0.587
84	N2	0.586
85	N2	0.602
85	N2	0.602
86	N2	0.615
86	N2	0.607
87	N2	0.625
87	N2	0.615
88	N2	0.57
88	N2	0.565
89	N2	0.592
89	N2	0.574
90	N2	0.584
90	N2	0.573
91	N3	0.666
91	N3	0.622
92	N3	0.677
92	N3	0.664
93	N3	0.661
93	N3	0.615
94	N3	0.661
94	N3	0.663
95	N3	0.676
95	N3	0.657
96	N3	0.646
96	N3	0.609
97	N3	0.654
97	N3	0.656
98	N3	0.642
98	N3	0.647
99	N3	0.669
99	N3	0.652
100	N3	0.666
100	N3	0.633
101	N3	0.649
101	N3	0.634
102	N3	0.636
102	N3	0.608
103	N3	0.633
103	N3	0.626
104	N3	0.666
104	N3	0.663
105	N3	0.636
105	N3	0.635
106	N3	0.683
106	N3	0.635
107	N3	0.645
107	N3	0.622
108	N3	0.568
108	N3	0.565
109	N3	0.65
109	N3	0.662
110	N3	0.609
110	N3	0.612
111	N4	0.798
111	N4	0.799
112	N4	0.795
112	N4	0.793
113	N4	0.81
113	N4	0.813
114	N4	0.819
114	N4	0.813
115	N4	0.819
115	N4	0.824
116	N4	0.844
116	N4	0.848
117	N4	0.821
117	N4	0.831
118	N4	0.845
118	N4	0.848
119	N4	0.836
119	N4	0.836
120	N4	0.816
120	N4	0.808
121	N4	0.794
121	N4	0.796
122	N4	0.849
122	N4	0.824
123	N4	0.821
123	N4	0.855
124	N4	0.779
124	N4	0.783
125	N4	0.839
125	N4	0.81
126	N4	0.856
126	N4	0.834
127	N4	0.778
127	N4	0.778
128	N4	0.795
128	N4	0.79
129	N4	0.838
129	N4	0.85
130	N4	0.793
130	N4	0.777
131	N5	0.897
131	N5	0.899
132	N5	0.817
132	N5	0.81
133	N5	0.898
133	N5	0.908
134	N5	0.866
134	N5	0.869
135	N5	0.877
135	N5	0.884
136	N5	0.878
136	N5	0.887
137	N5	0.799
137	N5	0.793
138	N5	0.847
138	N5	0.85
139	N5	0.883
139	N5	0.88
140	N5	0.829
140	N5	0.82
141	N5	0.882
141	N5	0.885
142	N5	0.887
142	N5	0.88
143	N5	0.877
143	N5	0.88
144	N5	0.873
144	N5	0.873
145	N5	0.879
145	N5	0.878
146	N5	0.876
146	N5	0.854
147	N5	0.9
147	N5	0.911
148	N5	0.875
148	N5	0.875
149	N5	0.88
149	N5	0.884
150	N5	0.946
150	N5	0.95
