sample	type_of_sample	N	stage	weigth		
1	fresh	100	male	0.0125		
1	dry	100	male	0.0109		
2	fresh	100	male	0.0126		
2	dry	100	male	0.0118		
3	fresh	100	female	0.0194		
3	dry	100	female	0.0176		
4	fresh	100	female	0.0186		
4	dry	100	female	0.0172		
5	fresh	100	N1	0.0016		
5	dry	100	N1	0.0008		
6	fresh	100	N1	0.0013		
6	dry	100	N1	0.0005		
7	fresh	100	N2	0.007		
7	dry	100	N2	0.0032		
8	fresh	100	N2	0.007		
8	dry	100	N2	0.0033		
9	fresh	50	N3	0.002		
9	dry	50	N3	0.0019		
10	fresh	100	N4	0.0133		
10	dry	100	N4	0.0097		
11	fresh	100	N4	0.0193		
11	dry	100	N4	0.0121		
12	fresh	100	N5	0.0119		
12	dry	100	N5	0.0099		
13	fresh	100	N5	0.0193		
13	dry	100	N5	0.0131		
