Day_julian	HeadWidth_mm	Perc_Abundance	estimated_N	N	Temp_C
54	0.531	19.116	2.29392	2	5.088
54	0.683	5.882	0.70584	1	5.088
54	0.829	5.882	0.70584	1	5.088
54	0.976	26.468	3.17616	3	5.088
54	1.122	29.555	3.5466	4	5.088
54	1.275	8.944	1.07328	1	5.088
94	0.829	4.411	0.52932	1	9.624
94	0.981	4.411	0.52932	1	9.624
94	1.122	25.041	3.00492	3	9.624
94	1.274	41.172	4.94064	5	9.624
94	1.427	16.175	1.941	2	9.624
125	0.828	7.352	1.17632	1	11.065
125	0.975	13.234	2.11744	2	11.065
125	1.133	17.645	2.8232	3	11.065
125	1.28	17.645	2.8232	3	11.065
125	1.578	11.763	1.88208	2	11.065
125	1.725	30.914	4.94624	5	11.065
154	0.974	10.293	1.13223	1	10.167
154	1.279	8.944	0.98384	1	10.167
154	1.431	8.944	0.98384	1	10.167
154	1.572	30.914	3.40054	3	10.167
154	1.718	39.702	4.36722	4	10.167
154	2.023	10.398	1.14378	1	10.167
187	1.126	5.882	0.70584	1	12.514
187	1.273	5.882	0.70584	1	12.514
187	1.425	5.882	0.70584	1	12.514
187	1.571	5.882	0.70584	1	12.514
187	1.718	5.882	0.70584	1	12.514
187	1.882	16.175	1.941	2	12.514
187	2.023	32.383	3.88596	4	12.514
187	2.175	7.352	0.88224	1	12.514
217	1.876	100	1	1	14.182
250	0.375	100	2	2	14.226
281	0.374	99.989	2.99967	3	10.497
281	0.515	61.828	1.85484	2	10.497
318	0.374	30.879	4.32306	4	9.071
318	0.52	36.79	5.1506	5	9.071
318	0.673	55.896	7.82544	8	9.071
374	0.525	10.293	1.0293	1	6.63
374	0.672	39.729	3.9729	4	6.63
374	0.812	39.729	3.9729	4	6.63
403	0.525	20.795	3.53515	4	5.581
403	0.671	44.113	7.49921	7	5.581
403	0.824	16.241	2.76097	3	5.581
403	0.97	30.914	5.25538	5	5.581
