prey\predator,Tyrannosaurus_sp$1,Tyrannosaurus_sp$2,Tyrannosaurus_sp$3,Tyrannosaurus_sp$4,Tyrannosaurus_sp$5,Tyrannosaurus_sp$6,Tyrannosaurus_sp$7,Tyrannosaurus_sp$8,Tyrannosaurus_sp$9,Tyrannosaurus_sp$10,Tyrannosaurus_sp$11,Tyrannosaurus_sp$12,Tyrannosaurus_sp$13,Tyrannosaurus_sp$14,Tyrannosaurus_sp$15,Tyrannosaurus_sp$16,Tyrannosaurus_sp$17,Tyrannosaurus_sp$18,Tyrannosaurus_sp$19,Tyrannosaurus_sp$20,Tyrannosaurus_sp$21,Tyrannosaurus_sp$22,Tyrannosaurus_sp$23,Tyrannosaurus_sp$24,Tyrannosaurus_sp$25,Tyrannosaurus_sp$26,Tyrannosaurus_sp$27,Tyrannosaurus_sp$28,Tyrannosaurus_sp$29,Tyrannosaurus_sp$30,Tyrannosaurus_sp$31,Tyrannosaurus_sp$32,Tyrannosaurus_sp$33,Tyrannosaurus_sp$34,Edmontosaurus_sp$1,Edmontosaurus_sp$2,Edmontosaurus_sp$3,Edmontosaurus_sp$4,Edmontosaurus_sp$5,Edmontosaurus_sp$6,Edmontosaurus_sp$7,Edmontosaurus_sp$8,Edmontosaurus_sp$9,Edmontosaurus_sp$10,Edmontosaurus_sp$11,Edmontosaurus_sp$12,Edmontosaurus_sp$13,Edmontosaurus_sp$14,Edmontosaurus_sp$15,Edmontosaurus_sp$16,Edmontosaurus_sp$17,Edmontosaurus_sp$18,Edmontosaurus_sp$19,Edmontosaurus_sp$20
Tyrannosaurus_sp$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosaurus_sp$2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosaurus_sp$3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosaurus_sp$4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosaurus_sp$5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosaurus_sp$6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosaurus_sp$7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosaurus_sp$8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosaurus_sp$9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosaurus_sp$10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
